fakeDataSet,fakeParam_0,fakeParam_1,fakeParam_2,fakeParam_3,fakeParam_4,testAccuracy,runTime,testAccuracyStd
fakeDataSet_3,0,1,0,1,0,0.13678183843893704,0.7007748792113901,0.4184601460899393
fakeDataSet_3,0,1,0,1,1,0.05993575329743395,0.7709736849109243,0.6432564358491267
fakeDataSet_3,0,1,1,0,0,0.1630499409373895,0.10626636231788655,0.8190905781668765
fakeDataSet_3,0,1,1,0,1,0.23700630144479523,0.3782451562742277,0.5216405622709992
fakeDataSet_3,0,1,1,1,0,0.464356919567997,0.8749449621803971,0.024108770900032495
fakeDataSet_3,0,1,1,1,1,0.26886020380521164,0.47944817212819346,0.9907029950664002
fakeDataSet_3,1,0,0,0,0,0.8012481778934482,0.9929656289655735,0.9871576228504385
fakeDataSet_3,1,0,0,0,1,0.6700616292917579,0.9026885737396936,0.01150899301646302
fakeDataSet_3,1,0,0,1,0,0.7720236855975025,0.31205755702863747,0.3365421622442957
fakeDataSet_3,1,0,0,1,1,0.5038388832773126,0.49570237964603225,0.15193293994124268
fakeDataSet_3,1,0,1,0,0,0.5611134239174673,0.5338922829710936,0.9566988649180419
fakeDataSet_3,1,0,1,0,1,0.9604125619220966,0.2191033118305662,0.781577161934727
fakeDataSet_3,1,0,1,1,0,0.7723117913859936,0.1015026299285735,0.24825913105203712
fakeDataSet_3,1,0,1,1,1,0.6947426461767583,0.13913772427880444,0.13581611270814242
fakeDataSet_3,1,1,0,0,0,0.7846037549486993,0.023914331929994703,0.5175666562453017
fakeDataSet_3,1,1,0,0,1,0.7295502099919512,0.07555651364440474,0.7926839957462071
fakeDataSet_3,1,1,0,1,0,0.5729573766616323,0.18233116832776453,0.2643217590189094
fakeDataSet_3,1,1,0,1,1,0.6903218837051495,0.7504068971900992,0.0464364582065625
fakeDataSet_3,1,1,1,0,0,0.6966967568082618,0.3862731984019986,0.3714907830729304
fakeDataSet_3,1,1,1,0,1,0.805432321808722,0.1394597246900473,0.10247687195726807
fakeDataSet_3,1,1,1,1,0,0.6065338931822835,0.0031868887057627804,0.4342089281421653
fakeDataSet_3,1,1,1,1,1,0.629779505285214,0.08815219499843707,0.3354693769815775
